rx_id,distance_m,distance_km,h_los_re,h_los_im,h_total_re,h_total_im,abs_h_los,abs_h_total,rss_los_dbm,rss_total_dbm,ris_gain_db
RX_28015,28015.075376884422,28.015075376884422,-5.368023280225594e-06,-6.618268239425558e-06,-5.431659600626826e-06,-6.558370449976751e-06,8.521569598731974e-06,8.515582715011923e-06,-91.38960809225851,-91.39571256470217,-0.006104472443652753
RX_28437,28437.18592964824,28.43718592964824,7.766565669572491e-06,-3.187131080354814e-06,7.842871062626163e-06,-3.143081048013184e-06,8.395078726441202e-06,8.449235763035525e-06,-91.51950453656112,-91.46365142788547,0.055853108675648855
RX_28859,28859.29648241206,28.85929648241206,8.040567431186752e-07,8.233118669893332e-06,8.244343455775215e-07,8.146652565704572e-06,8.272288092100079e-06,8.188262331927863e-06,-91.64748698347788,-91.73616504104146,-0.08867805756358393
RX_29281,29281.40703517588,29.281407035175878,-7.998984182240745e-06,-1.5774268059848023e-06,-8.088393884632773e-06,-1.5719970258700598e-06,8.15303767168882e-06,8.239738483854275e-06,-91.77361101965755,-91.68173143795414,0.09187958170340949
RX_29703,29703.5175879397,29.7035175879397,3.7595262302336653e-06,-7.1036729385927775e-06,3.7907328922272766e-06,-7.018908547068654e-06,8.037176537460795e-06,7.977138149256735e-06,-91.8979298448323,-91.96305773415317,-0.06512788932086266
RX_30125,30125.628140703517,30.125628140703515,5.64024938542659e-06,5.566531528654313e-06,5.713047763726134e-06,5.511777672742775e-06,7.924562220672354e-06,7.9384260319261e-06,-92.02049440655189,-92.00531194997367,0.015182456578216375
RX_30547,30547.738693467338,30.547738693467338,-6.8586660902935745e-06,3.7461799546725714e-06,-6.932690931018906e-06,3.6917721327879178e-06,7.815060127147682e-06,7.854386355754421e-06,-92.14135352554337,-92.09775479356233,0.043598731981035144
RX_30969,30969.849246231155,30.969849246231156,-1.5907907493029128e-06,-7.542613604355872e-06,-1.6218420337340483e-06,-7.455311270269654e-06,7.708543000637799e-06,7.62968136418529e-06,-92.26055401246805,-92.34987197921333,-0.08931796674528414
RX_31391,31391.959798994976,31.391959798994975,7.577950439127829e-06,6.395510819659867e-07,7.671300351347124e-06,6.441864221587123e-07,7.60489042947507e-06,7.698300151791442e-06,-92.37814077677498,-92.27210320095351,0.10603757582147466
RX_31814,31814.070351758794,31.814070351758794,-2.757261488902283e-06,6.979065186443133e-06,-2.7799012792824105e-06,6.887539776870316e-06,7.503988392502094e-06,7.427385495618683e-06,-92.49415692828396,-92.58328069557996,-0.08912376729600169
RX_32236,32236.180904522615,32.23618090452261,-5.812525285549381e-06,-4.589048862940557e-06,-5.89437112577584e-06,-4.5405866779605456e-06,7.4057288406750985e-06,7.440466272247507e-06,-92.60864387207349,-92.56799695274103,0.040646919332459674
RX_32658,32658.291457286432,32.65829145728643,5.989847164055186e-06,-4.19022279596627e-06,6.060449967290673e-06,-4.125225287301615e-06,7.310009311114134e-06,7.331203003397615e-06,-92.72164139719598,-92.69649509143674,0.025146305759236043
RX_33080,33080.40201005025,33.08040201005025,2.2589674803354205e-06,6.854071411928609e-06,2.301256984143792e-06,6.766964965254687e-06,7.2167325707019236e-06,7.147558922321309e-06,-92.83318775969612,-92.9168451152483,-0.08365735555217668
RX_33502,33502.51256281407,33.50251256281407,-7.123339849478975e-06,1.8746899299152964e-07,-7.219802706874942e-06,1.719154670248792e-07,7.125806286625283e-06,7.22184921290947e-06,-92.94331976036582,-92.82703167150703,0.11628808885879494
RX_33924,33924.62311557789,33.92462311557789,1.8481596031397914e-06,-6.790116623759732e-06,1.8611620185100933e-06,-6.692373509051321e-06,7.037142721512481e-06,6.946350642157107e-06,-93.05207281763094,-93.16486595776283,-0.11279314013188468
RX_34346,34346.73366834171,34.346733668341706,5.897075557027955e-06,3.6791510947315507e-06,5.987764718955712e-06,3.6381762312620356e-06,6.950658451050586e-06,7.006400832045709e-06,-93.15948103593136,-93.09010041154538,0.06938062438598536
RX_34768,34768.84422110553,34.76884422110553,-5.157868735759393e-06,4.532340471637038e-06,-5.223834376613877e-06,4.456592429920941e-06,6.866274102172388e-06,6.866561124807784e-06,-93.26557726992442,-93.26521419166798,0.0003630782564414403
RX_35190,35190.95477386934,35.19095477386934,-2.821091531094959e-06,-6.169516449950136e-06,-2.875138471772217e-06,-6.083730645674907e-06,6.783914110085787e-06,6.728907771770148e-06,-93.37039318481438,-93.44110848428414,-0.07071529946976796
RX_35613,35613.065326633165,35.61306532663316,6.6408606542788585e-06,-9.143134399887306e-07,6.739506273965083e-06,-8.870033646893989e-07,6.7035064925823e-06,6.7976260404486085e-06,-93.47395931308486,-93.35285462099874,0.12110469208612074
RX_36035,36035.175879396986,36.03517587939699,-1.0243221657173998e-06,6.545315812386433e-06,-1.0265987819751547e-06,6.44200159493724e-06,6.624982640207887e-06,6.523288251206351e-06,-93.57630510788891,-93.7106686087855,-0.13436350089658333
RX_36457,36457.28643216081,36.45728643216081,-5.9040589250047865e-06,-2.832317331024216e-06,-6.003293774841733e-06,-2.8000748375100788e-06,6.548277121010443e-06,6.624194686353248e-06,-93.67745899332962,-93.57733824074849,0.10012075258113384
RX_36879,36879.39698492462,36.87939698492462,4.361792896302291e-06,-4.783171712905791e-06,4.421829640582283e-06,-4.696586550158131e-06,6.473327498696111e-06,6.450620326252219e-06,-93.7774484118471,-93.80797038539008,-0.03052197354297448
RX_37301,37301.50753768844,37.301507537688444,3.2871355716570462e-06,5.4914195821426706e-06,3.353411911357786e-06,5.408175943815727e-06,6.400074163132259e-06,6.363469060701357e-06,-93.87629986890823,-93.92612126192587,-0.04982139301763766
RX_37723,37723.61809045226,37.72361809045226,-6.135885190018963e-06,1.5492969652095575e-06,-6.235675684525645e-06,1.5094069430364728e-06,6.328460172230018e-06,6.415758767462433e-06,-93.97403897518225,-93.85503947779924,0.1189994973830153
RX_38145,38145.72864321608,38.14572864321608,2.798434301858473e-07,-6.252171426165788e-06,2.7028628728265886e-07,-6.144040801480562e-06,6.2584311043249585e-06,6.149983093257326e-06,-94.07069048636959,-94.22252156258969,-0.1518310762201054
RX_38567,38567.8391959799,38.5678391959799,5.8421920595872884e-06,2.0455039124492e-06,5.949577349764056e-06,2.02329170381764e-06,6.189934920251565e-06,6.284200821072062e-06,-94.16627834083903,-94.0349988975621,0.13127944327692376
RX_38989,38989.94974874372,38.98994974874372,-3.6015693618574384e-06,4.951653251351492e-06,-3.6543038218488537e-06,4.8542213946672675e-06,6.1229218343769505e-06,6.075969204236026e-06,-94.26082569521625,-94.32768872009632,-0.0668630248800639
RX_39412,39412.06030150754,39.41206030150754,-3.6653109879753458e-06,-4.82254228027796e-06,-3.7442406114657103e-06,-4.743165201273498e-06,6.057344193922065e-06,6.042925937252663e-06,-94.35435495805635,-94.37505456957197,-0.020699611515624383
RX_39834,39834.17085427136,39.83417085427136,5.613530848698425e-06,-2.0990937657728266e-06,5.713314185841202e-06,-2.0458138728288373e-06,5.99315636595569e-06,6.068551177043269e-06,-94.44688782172253,-94.33829962468847,0.10858819703405231
RX_40256,40256.281407035174,40.256281407035175,3.898073803011495e-07,5.917489487512625e-06,4.12329705316188e-07,5.805411174462677e-06,5.930314631498035e-06,5.820035626219332e-06,-94.5384452925846,-94.70148713785065,-0.1630418452660507
RX_40678,40678.391959798995,40.678391959798994,-5.7191701412353085e-06,-1.316676643414856e-06,-5.8342084776631685e-06,-1.3058516798001975e-06,5.868777086217512e-06,5.978564808586906e-06,-94.6290477196424,-94.46806117146318,0.1609865481792241
RX_41100,41100.502512562816,41.10050251256282,2.877740678759961e-06,-5.045524952290659e-06,2.9217098803223436e-06,-4.937316158322909e-06,5.8085035472467e-06,5.737027058678536e-06,-94.71871482167175,-94.8262620352706,-0.10754721359884911
RX_41522,41522.61306532663,41.52261306532663,3.962599155552162e-06,4.1658187771767595e-06,4.054558418737859e-06,4.09174441997292e-06,5.749455465682048e-06,5.7603659926551175e-06,-94.80746571298342,-94.7909984442409,0.016467268742516694
RX_41944,41944.72361809045,41.94472361809045,-5.0787063580345e-06,2.5692421031259104e-06,-5.177207511731034e-06,2.5017721091429053e-06,5.69159584436693e-06,5.7499862004712315e-06,-94.89531892787939,-94.8066639516557,0.0886549762236939
RX_42366,42366.83417085427,42.366834170854275,-9.882207188243694e-07,-5.5475576304366775e-06,-1.0248701366023783e-06,-5.43252202081964e-06,5.634889160589581e-06,5.528350052555435e-06,-94.98229244388456,-95.1480893087698,-0.16579686488523748
RX_42788,42788.94472361809,42.788944723618094,5.541953826958571e-06,6.444770763254328e-07,5.6640403794349204e-06,6.464652443950804e-07,5.579301293356519e-06,5.700813164109141e-06,-95.06840370382693,-94.88126384269954,0.18713986112739178
RX_43211,43211.05527638191,43.211055276381906,-2.1912270605861262e-06,5.071679503491334e-06,-2.2248664999007643e-06,4.952844754889972e-06,5.52479945492857e-06,5.429613440054622e-06,-95.15366963683394,-95.30462177591063,-0.15095213907669347
RX_43633,43633.16582914573,43.633165829145725,-4.185123423974044e-06,-3.5242638971009084e-06,-4.2904434168617616e-06,-3.457053039316075e-06,5.4713521263308485e-06,5.509911109077618e-06,-95.23810667830813,-95.17710815054501,0.060998527763118204
RX_44055,44055.27638190955,44.05527638190955,4.5361352187641865e-06,-2.964501433117595e-06,4.631943854710001e-06,-2.8820440058164525e-06,5.418928996570179e-06,5.455371804437191e-06,-95.3217307889413,-95.26351290476556,0.05821788417573259
RX_44477,44477.38693467337,44.47738693467337,1.5183580479735813e-06,5.148267165435014e-06,1.570338169013066e-06,5.031396528736412e-06,5.367500905313609e-06,5.270760191323461e-06,-95.40455747282198,-95.56253485670692,-0.15797738388494054
RX_44899,44899.497487437184,44.89949748743718,-5.316966169785886e-06,-2.7979725481991272e-08,-5.44538213287797e-06,-4.429080890501283e-08,5.31703978880031e-06,5.445562252772444e-06,-95.4866017946878,-95.27914545619849,0.20745633848930822
