trial,snr_db_los_only,snr_db_los_plus_ris
128,98.82055853525914,100.52663681374176
129,98.51993690230802,100.03307895213594
130,98.62610525947349,100.59101624342894
131,99.07787365467453,100.09707438370089
132,98.58393255839088,100.13924662786145
133,98.79909926481963,100.31224148483486
134,98.8105928026151,100.32373519006235
135,98.42154019544677,99.93468290063089
136,98.88624700714011,100.39939014720153
137,98.5846271633394,100.49816551172734
138,99.201475257116,100.09776987943349
139,99.13431749632194,100.64745888119164
140,98.98502309283971,100.71461677001993
141,98.7094918800174,100.2320864042028
142,98.71894400476378,100.22263435503626
143,98.97110570033146,100.50962826125121
144,98.53718033777879,100.0503225762486
145,99.10377021740786,100.4842478276805
146,98.99648617190408,100.50342264290481
147,98.99028162800761,100.61691164454005
148,99.3164996650352,100.82964182049244
149,99.09549505437002,100.1872318627059
150,98.67311549886152,100.60863698881676
151,98.86219780002067,100.18625784970209
152,99.01990217078728,100.52046745786242
153,99.00732409198311,100.37534026709483
154,98.67409005604785,99.96222955933763
155,98.44908716762093,100.00834627410889
156,99.15418151662955,99.68245193275315
157,98.49520470030785,100.17055599711121
158,98.16930957998139,100.6673232510188
159,98.65741323147728,100.45325002589051
160,98.94010774873011,99.87880400357275
161,98.36566256711242,100.53304494150412
162,98.69190733613401,100.20504947475297
163,98.69344773604125,100.20658930402817
164,98.9156978102038,100.42883949823246
165,99.2139983037359,100.72714065690357
166,98.43566825045643,99.94881028656394
167,98.90170052778427,100.41484175920934
168,98.41111776771014,99.92425973493589
169,98.71882152321314,100.00231322856598
170,98.48917079506575,100.32809319738425
171,98.81495107627302,100.2319643097271
172,98.37435616010707,100.29565248013395
173,99.19381031870167,100.86415932588272
174,98.78251059236408,100.70695243700455
175,99.21484389373549,100.48993760105843
176,99.3510165642125,99.88749741167109
177,98.38403264562828,99.8971742738928
178,98.97679524516897,100.72798703960311
179,99.06994034298103,100.63759125324526
180,99.40163385969008,100.5830829003409
181,99.12444937473634,100.45256223254525
182,98.93942089249158,100.91477550899121
183,98.64339981853952,100.15654168645752
184,98.96659273038011,100.33307911930785
185,98.81993737248116,100.36158892936209
186,98.84844670911791,100.47973439592661
187,99.02291210532753,100.25403450054334
188,98.64521203848017,100.15835398143827
189,98.74089218265787,100.05473692461297
190,98.54159509437525,100.5360544830097
191,99.03379865278805,100.31202250483695
192,98.80041837853145,100.54694057035995
193,98.9692723668952,100.31356017896356
194,98.79888019343394,100.39725137083265
195,98.87749630541533,100.23994969260755
196,98.70619725846294,100.4824142871709
197,98.72680716114773,100.21933914965194
198,98.88411124438531,100.4829262236218
199,98.96978410266159,100.39063849393693
